4,27,16.679234921
2,20,17.06642389
1,24,18.036826291
3,4,17.995629429
0,18,18.308910204
0,36,32.381839163
2,39,33.834185262
3,17,34.757129044
0,19,48.942711312
3,31,51.705778829
0,22,65.522958595
3,15,69.555267555
0,7,82.617686617
3,32,87.189407099
0,38,97.071713238
3,6,103.577017474
0,37,113.038401225
3,0,121.502596618
0,8,129.929386259
3,30,138.13719218
0,12,147.64150007
3,25,152.618654527
0,16,165.379245714
3,29,168.257055117
0,33,180.977095696
3,2,185.443325267
0,26,197.201450691
3,34,201.586164932
0,23,212.868602065
3,13,217.105242112
0,5,229.034186588
3,3,234.989393661
0,21,241.337708738
3,9,253.874925843
0,14,258.549928856
0,28,275.515251783
0,1,293.001624589
0,11,310.264655486
0,35,325.619238512
0,10,343.164434098
