0,1,18.841034778
1,4,19.141648103
0,0,35.89721595
1,8,36.62612998
0,5,53.9859113
1,9,55.101894204
0,2,69.91181973
0,3,87.731825231
0,6,106.649584218
0,7,125.3820404
0,17,16.281423916
1,18,18.990468458
0,4,32.822284145
1,19,35.208308985
0,8,50.184122755
1,10,52.821218082
0,12,67.901893076
1,15,68.729088852
0,16,85.673973718
1,11,86.191442515
0,13,101.890264661
1,6,102.787543431
0,14,119.464166719
1,1,120.33376212
1,0,137.282687872
1,3,155.54738945
0,1,18.750749915
1,4,19.161103742
0,0,35.833983788
1,8,36.764973762
0,5,54.016229622
1,9,55.282109908
0,2,69.955206426
0,3,87.934523931
0,6,106.890972244
0,7,125.672074163
