agent_id,optimization_time,iterations,tasks
1,1.043860013,7,"[4, 8, 9]"
agent_id,optimization_time,iterations,tasks
0,1.034975816,8,"[1, 0, 5, 2, 3, 6, 7]"
agent_id,optimization_time,iterations,tasks
0,1.161704554,7,"[7, 17, 4, 8, 12, 16, 13, 2, 5, 14]"
agent_id,optimization_time,iterations,tasks
1,2.118458029,5,"[18, 19, 10, 15, 11, 6, 1, 0, 3, 9]"
agent_id,optimization_time,iterations,tasks
1,1.05878768,7,"[4, 8, 9]"
agent_id,optimization_time,iterations,tasks
0,1.038788893,8,"[1, 0, 5, 2, 3, 6, 7]"
