4,23,14.081542316
5,25,15.831315395
1,43,17.441105376
6,29,17.596729048
8,21,18.43793825
3,4,18.406230378
0,18,19.172080441
2,53,19.451587611
4,2,28.382497001
0,36,33.324761376
1,42,33.363387276
3,17,35.192891569
8,3,35.955732201
2,9,36.724501357
4,34,44.346602184
0,19,49.807211733
1,51,50.146131765
3,7,50.328981597
8,41,54.270031825
4,13,59.922208238
1,58,64.832580794
0,22,66.473042552
3,37,66.576189836
4,33,75.869991117
1,46,80.699154732
0,50,83.210266997
3,31,84.08151631
4,16,91.4805369
1,39,96.985580085
0,47,100.728333398
3,48,101.464328025
4,27,107.291797544
1,20,113.854919347
0,12,118.006013855
3,54,119.701700673
4,55,124.374149899
1,24,130.641823484
0,8,135.745023151
3,35,135.660631835
4,40,142.062196281
3,11,150.80872893
0,38,153.231186388
3,1,168.297704373
0,59,171.021268954
3,52,184.161651025
0,10,188.423017329
0,44,204.399011371
0,15,217.243911365
0,57,234.806016169
0,32,251.225507522
0,6,267.746838511
0,0,285.832309228
0,28,302.334429974
0,30,316.395096194
0,14,333.290452806
0,49,349.79087042
0,26,367.282033427
0,45,382.455694038
0,56,397.538950408
0,5,414.488113616
